scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,min_waiting,1,1,1,0,1,6,0.8703,1,duration,106,5,101,54,0,0,47,22,9,6,9,1,0,1612,721,0.9329,0.4172,62.283
pessimistic,150,min_waiting,1,1,1,1,1,6,0.3662,1,duration,60,4,56,41,0,0,15,6,4,3,2,0,0,564,302,0.3264,0.1748,21.342
pessimistic,150,min_waiting,1,1,1,2,2,4,0.8382,2,duration,117,7,110,85,0,0,25,13,1,3,7,1,0,1058,517,0.9184,0.4488,42.7
pessimistic,150,min_waiting,1,1,1,3,1,6,0.1274,1,duration,113,5,108,69,0,0,39,19,5,7,7,1,0,1497,691,0.8663,0.3999,58.55
pessimistic,150,min_waiting,1,1,1,4,2,6,0.5844,2,duration,94,7,87,44,0,0,43,20,11,5,7,0,0,1652,734,0.956,0.4248,54.1
pessimistic,150,min_waiting,1,1,1,5,0,6,0.5948,0,duration,112,6,106,87,0,0,19,5,5,5,4,0,0,673,194,0.3895,0.1123,26.392
pessimistic,150,min_waiting,1,1,1,6,1,5,0.4461,1,duration,134,15,119,55,0,0,64,20,19,10,14,1,0,2067,561,1.4354,0.3896,64.458
pessimistic,150,min_waiting,1,1,1,7,1,5,0.1213,1,duration,58,4,54,33,0,0,21,10,2,2,7,0,0,883,411,0.6132,0.2854,35.183
pessimistic,150,min_waiting,1,1,1,8,0,5,0.3565,0,duration,58,3,55,20,0,0,35,11,8,7,7,2,0,1573,470,1.0924,0.3264,49.467
pessimistic,150,min_waiting,1,1,1,9,0,4,0.5513,0,duration,84,4,80,49,0,0,31,12,7,5,7,0,0,1173,465,1.0182,0.4036,43.358
pessimistic,150,min_waiting,1,1,1,10,2,5,0.5639,2,duration,159,7,152,113,0,0,39,16,5,7,10,1,0,1604,638,1.1139,0.4431,60.717
pessimistic,150,min_waiting,1,1,1,11,0,5,0.6531,0,duration,129,6,123,82,0,0,41,21,8,3,9,0,0,1423,710,0.9882,0.4931,52.142
