scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,abandoned,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,150,multistation_rep,1,1,1,t00000-c00000,0,0,3,0,3,True,False,1,2028.922208934091,3223.4980419743806,3364.0943330246955,0.014749937690794468,6587.607124936767
pessimistic,150,multistation_rep,1,1,1,t00000-c00008,8,0,3,1,3,True,False,1,6936.052292003296,7446.474750060588,0.017332960851490498,0.01225003506988287,7446.5043330565095
pessimistic,150,multistation_rep,1,1,1,t00000-c00010,10,0,3,1,3,True,False,1,6936.032458906993,7446.454624994658,0.10770896915346384,0.005707959644496441,7446.568041923456
pessimistic,150,multistation_rep,1,1,1,t00000-c00032,32,0,4,0,4,True,False,1,990.1892910711467,5528.55020808056,1059.0644580079243,0.0063749030232429504,6587.6210409915075
pessimistic,150,multistation_rep,1,1,1,t00000-c00038,38,0,2,0,2,True,False,1,2028.8396250689402,6587.490834062919,0.13879092875868082,0.004125060513615608,6587.633750052191
pessimistic,150,multistation_rep,1,1,1,t00000-c00040,40,0,2,0,2,True,False,1,5902.171832975,6587.4739160062745,0.17391692381352186,0.0036669662222266197,6587.65149989631
pessimistic,150,multistation_rep,1,1,1,t00000-c00047,47,0,6,2,6,True,False,1,7467.204708023928,7728.4419579664245,0.10470801498740911,0.006749993190169334,7728.553415974602
pessimistic,150,multistation_rep,1,1,1,t00000-c00058,58,0,4,0,4,True,False,1,2028.7852499168366,6587.4366669449955,0.1948750577867031,0.0036249402910470963,6587.635166943073
pessimistic,150,multistation_rep,1,1,1,t00000-c00062,62,0,2,0,2,True,False,1,2945.350999943912,5528.460833011195,1059.172666980885,0.003125052899122238,6587.636625044979
pessimistic,150,multistation_rep,1,1,1,t00000-c00064,64,0,3,0,3,True,False,1,456.2425840413198,3631.687375018373,2955.945875030011,0.003374996595084667,6587.636625044979
