scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,random_feasible,1,1,1,0,1,6,0.8703,1,duration,113,10,103,55,0,0,48,20,6,6,14,2,0,1732,541,1.0023,0.3131,63.625
pessimistic,150,random_feasible,1,1,1,1,1,6,0.3662,1,duration,64,14,50,41,0,0,9,4,1,2,2,0,0,313,150,0.1811,0.0868,14.425
pessimistic,150,random_feasible,1,1,1,2,2,4,0.8382,2,duration,119,24,95,55,0,0,40,18,10,5,4,3,0,1262,571,1.0955,0.4957,36.275
pessimistic,150,random_feasible,1,1,1,3,1,6,0.1274,1,duration,120,12,108,81,0,0,27,15,6,1,5,0,0,963,571,0.5573,0.3304,37.892
pessimistic,150,random_feasible,1,1,1,4,2,6,0.5844,2,duration,118,13,105,68,0,0,37,17,8,5,6,1,0,1494,646,0.8646,0.3738,51.592
pessimistic,150,random_feasible,1,1,1,5,0,6,0.5948,0,duration,131,14,117,86,0,0,31,12,6,6,7,0,0,991,364,0.5735,0.2106,40.9
pessimistic,150,random_feasible,1,1,1,6,1,5,0.4461,1,duration,142,22,120,47,0,0,73,23,17,12,20,1,0,2349,701,1.6313,0.4868,85.475
pessimistic,150,random_feasible,1,1,1,7,1,5,0.1213,1,duration,63,14,49,34,0,0,15,8,5,0,2,0,0,614,310,0.4264,0.2153,17.858
pessimistic,150,random_feasible,1,1,1,8,0,5,0.3565,0,duration,67,11,56,30,0,0,26,5,6,7,8,0,0,1062,208,0.7375,0.1444,35.208
pessimistic,150,random_feasible,1,1,1,9,0,4,0.5513,0,duration,86,15,71,44,0,0,27,13,5,5,4,0,0,998,463,0.8663,0.4019,38.758
pessimistic,150,random_feasible,1,1,1,10,2,5,0.5639,2,duration,188,19,169,109,0,0,60,28,10,9,12,1,0,1805,901,1.2535,0.6257,69.792
pessimistic,150,random_feasible,1,1,1,11,0,5,0.6531,0,duration,150,13,137,94,0,0,43,21,7,5,10,0,0,1443,684,1.0021,0.475,54.5
