scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,bramev_event_score,2,2,2,0,2,6,0.6726,2,event,104,22,82,17,0,0,65,23,17,11,14,0,0,2095,823,1.2124,0.4763,75.808
pessimistic,150,bramev_event_score,2,2,2,1,1,5,0.3449,1,event,80,23,57,30,0,0,27,11,7,3,6,0,0,860,365,0.5972,0.2535,34.075
pessimistic,150,bramev_event_score,2,2,2,2,0,6,0.8418,0,event,131,24,107,56,0,0,51,22,12,5,11,1,0,1706,875,0.9873,0.5064,60.2
pessimistic,150,bramev_event_score,2,2,2,3,2,6,0.5698,2,event,104,16,88,35,0,0,53,22,14,4,13,0,0,1954,780,1.1308,0.4514,72.392
pessimistic,150,bramev_event_score,2,2,2,4,2,6,0.5838,2,event,64,21,43,39,0,0,4,0,2,0,2,0,0,155,0,0.0897,0.0,4.258
pessimistic,150,bramev_event_score,2,2,2,5,1,5,0.3661,1,event,69,16,53,25,0,0,28,12,8,4,4,0,0,1098,481,0.7625,0.334,38.892
pessimistic,150,bramev_event_score,2,2,2,6,0,5,0.6179,0,event,87,16,71,55,0,0,16,7,2,1,6,0,0,631,293,0.4382,0.2035,28.8
pessimistic,150,bramev_event_score,2,2,2,7,0,4,0.7799,0,event,167,23,144,97,0,0,47,19,15,4,9,0,0,1308,515,1.1354,0.447,43.0
pessimistic,150,bramev_event_score,2,2,2,8,1,4,0.3714,1,event,97,16,81,48,0,0,33,11,7,5,10,0,0,1232,395,1.0694,0.3429,49.142
pessimistic,150,bramev_event_score,2,2,2,9,1,6,0.5278,1,event,94,22,72,64,0,0,8,2,0,3,2,1,0,331,89,0.1916,0.0515,13.017
pessimistic,150,bramev_event_score,2,2,2,10,2,4,0.5286,2,event,117,23,94,55,0,0,39,20,9,1,9,0,0,1340,610,1.1632,0.5295,51.558
pessimistic,150,bramev_event_score,2,2,2,11,2,6,0.6971,2,event,104,11,93,48,0,0,45,18,10,5,11,1,0,1638,662,0.9479,0.3831,59.3
