scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,0,0.84178
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,1,0.84178
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,2,0.84178
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,3,0.84178
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,4,0.84178
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,5,0.828851
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,6,0.817215
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,7,0.806742
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,8,0.797317
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,9,0.797317
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,10,0.797317
pessimistic,150,bramev_nearest_offer,2,2,2,0,2,11,0.797317
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,0,0.128214
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,1,0.19957
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,2,0.263791
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,3,0.32159
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,4,0.373609
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,5,0.407497
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,6,0.437996
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,7,0.465446
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,8,0.49015
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,9,0.520867
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,10,0.548512
pessimistic,150,bramev_nearest_offer,2,2,2,0,6,11,0.573392
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,0,0.644721
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,1,0.664427
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,2,0.682162
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,3,0.698124
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,4,0.71249
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,5,0.71249
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,6,0.71249
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,7,0.71249
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,8,0.71249
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,9,0.720972
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,10,0.728607
pessimistic,150,bramev_nearest_offer,2,2,2,0,7,11,0.735478
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,0,0.311357
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,1,0.318098
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,2,0.324165
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,3,0.324165
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,4,0.329079
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,5,0.333501
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,6,0.337482
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,7,0.341064
pessimistic,150,bramev_nearest_offer,2,2,2,1,1,8,0.341064
