scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,greedy,2,2,2,0,2,6,0.726,2,duration,113,38,75,0,0,1,75,27,16,14,17,1,0,2316,915,1.3403,0.5295,85.008
pessimistic,150,greedy,2,2,2,1,1,5,0.3114,1,duration,17,0,17,0,0,0,17,9,2,4,2,0,0,585,310,0.4062,0.2153,25.533
pessimistic,150,greedy,2,2,2,2,0,6,0.8418,0,duration,28,0,28,0,0,0,28,11,8,2,6,1,0,1167,551,0.6753,0.3189,39.125
pessimistic,150,greedy,2,2,2,3,2,6,0.3984,2,duration,59,0,59,0,0,0,59,25,13,5,15,1,0,2093,761,1.2112,0.4404,78.65
pessimistic,150,greedy,2,2,2,4,2,6,0.4429,2,duration,5,0,5,0,0,0,5,0,3,0,2,0,0,181,0,0.1047,0.0,4.258
pessimistic,150,greedy,2,2,2,5,1,5,0.3788,1,duration,32,0,32,0,0,0,32,11,12,3,6,0,0,1249,427,0.8674,0.2965,41.275
pessimistic,150,greedy,2,2,2,6,0,5,0.1282,0,duration,8,4,4,0,0,0,4,1,1,1,1,0,0,148,36,0.1028,0.025,5.533
pessimistic,150,greedy,2,2,2,7,0,4,0.6447,0,duration,104,51,53,0,0,2,53,24,11,11,6,1,0,1383,534,1.2005,0.4635,47.342
pessimistic,150,greedy,2,2,2,8,1,4,0.3956,1,duration,7,0,7,0,0,0,7,4,1,0,2,0,0,252,131,0.2188,0.1137,11.208
pessimistic,150,greedy,2,2,2,9,1,6,0.894,1,duration,5,0,5,0,0,0,5,2,0,2,1,0,0,193,95,0.1117,0.055,8.875
pessimistic,150,greedy,2,2,2,10,2,4,0.2669,2,duration,115,52,63,0,0,0,63,30,17,5,11,0,0,1422,642,1.2344,0.5573,47.758
pessimistic,150,greedy,2,2,2,11,2,6,0.8041,2,duration,40,0,40,0,0,0,40,15,11,5,8,1,0,1469,606,0.8501,0.3507,53.717
