scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,abandoned,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,150,load_aware,2,2,2,t00000-c00001,1,0,1,0,1,True,False,1,1958.3347090519965,1958.3347090519965,4241.177749936469,0.012208009138703346,6199.524666997604
pessimistic,150,load_aware,2,2,2,t00000-c00027,27,0,1,0,1,True,False,1,6142.453958047554,6142.453958047554,57.057791971601546,0.006041023880243301,6199.517791043036
pessimistic,150,load_aware,2,2,2,t00000-c00040,40,0,2,0,2,True,False,1,1958.215874969028,2620.627125026658,3578.8915420416743,0.005332985892891884,6199.524000054225
pessimistic,150,load_aware,2,2,2,t00000-c00043,43,0,1,1,1,True,False,1,7525.022500078194,7525.022500078194,76.60495792515576,0.004375004209578037,7601.631833007559
pessimistic,150,load_aware,2,2,2,t00000-c00045,45,0,4,0,4,True,False,1,1958.1653339555487,5250.778333982453,948.7330409465358,0.005750101990997791,6199.5171250309795
pessimistic,150,load_aware,2,2,2,t00000-c00047,47,0,2,0,2,True,False,1,85.70149994920939,5250.749583938159,948.762790998444,0.004834029823541641,6199.517208966427
pessimistic,150,load_aware,2,2,2,t00000-c00050,50,0,2,0,2,True,False,1,4374.163624946959,6142.318333033472,57.194832945242524,0.004042056389153004,6199.517208035104
pessimistic,150,load_aware,2,2,2,t00000-c00061,61,0,5,0,5,True,False,1,2209.0520419878885,6199.253333033994,0.26000000070780516,0.004458939656615257,6199.517791974358
pessimistic,150,load_aware,2,2,2,t00000-c00070,70,0,2,1,2,True,False,1,7091.285582981072,7524.902207893319,76.62725006230175,0.003917026333510876,7601.533374981955
pessimistic,150,load_aware,2,2,2,t00000-c00072,72,0,5,0,5,True,False,1,1958.0476669361815,5250.661541940644,948.8389999605715,0.004333094693720341,6199.50487499591
pessimistic,150,load_aware,2,2,2,t00000-c00078,78,0,4,1,4,True,False,1,6751.029375009239,7601.306625059806,0.23345800582319498,0.0036669662222266197,7601.543750031851
pessimistic,150,load_aware,2,2,2,t00000-c00084,84,0,4,0,4,True,False,1,3055.995124974288,6142.220416921191,57.27083305828273,0.003959052264690399,6199.495209031738
pessimistic,150,load_aware,2,2,2,t00000-c00089,89,0,2,0,2,True,False,1,1349.800833966583,4374.041333911009,1825.4459160380065,0.003583962097764015,6199.490833911113
pessimistic,150,load_aware,2,2,2,t00000-c00117,117,0,4,1,3,True,False,1,6750.966334016994,7601.243624929339,0.2803750103339553,0.0036670826375484467,7601.52766702231
pessimistic,150,load_aware,2,2,2,t00000-c00121,121,0,3,0,3,True,False,1,504.71016694791615,4373.996499925852,1825.4709580214694,0.003583962097764015,6199.471041909419
pessimistic,150,load_aware,2,2,2,t00000-c00125,125,0,2,0,2,True,False,1,85.49129194580019,5250.539917033166,948.9286249736324,0.0034159747883677483,6199.4719579815865
pessimistic,150,load_aware,2,2,2,t00000-c00145,145,0,6,0,6,True,False,1,504.6748750610277,6142.114875023253,57.35983396880329,0.004166038706898689,6199.478875030763
pessimistic,150,load_aware,2,2,2,t00000-c00148,148,0,4,0,4,True,False,1,504.6573330182582,6142.097332980484,57.379000005312264,0.0036670826375484467,6199.480000068434
pessimistic,150,load_aware,2,2,2,t00001-c00005,5,1,2,0,2,True,False,1,439.55300003290176,810.7986249960959,589.9097500368953,0.013082986697554588,1400.7214580196887
pessimistic,150,load_aware,2,2,2,t00001-c00040,40,1,2,0,2,True,False,1,481.9645839743316,509.7161669982597,891.0749170463532,0.006707967258989811,1400.797792011872
pessimistic,150,load_aware,2,2,2,t00001-c00072,72,1,2,0,2,True,False,1,52.71299998275936,941.106167039834,459.72079201601446,0.0037909485399723053,1400.8307500043884
pessimistic,150,load_aware,2,2,2,t00001-c00082,82,1,3,0,3,True,False,1,101.20516701135784,810.6920830905437,590.1505419751629,0.0035830307751893997,1400.8462080964819
pessimistic,150,load_aware,2,2,2,t00002-c00061,61,2,1,0,1,True,False,1,458.74274999368936,458.74274999368936,0.018999911844730377,0.012958073057234287,458.7747079785913
pessimistic,150,load_aware,2,2,2,t00002-c00072,72,2,1,0,1,True,False,1,63.22020792867988,63.22020792867988,395.62100009061396,0.006582937203347683,458.8477909564972
pessimistic,150,load_aware,2,2,2,t00002-c00078,78,2,2,1,2,True,False,1,2634.9335410632193,3721.7199580045417,486.95370799396187,0.003374996595084667,4208.677040995099
pessimistic,150,load_aware,2,2,2,t00002-c00082,82,2,4,1,4,True,False,1,2165.5247919261456,4208.417749963701,0.2728330437093973,0.003458932042121887,4208.694041939452
pessimistic,150,load_aware,2,2,2,t00002-c00100,100,2,2,0,2,True,False,1,110.15587509609759,458.6495830444619,0.16658403910696507,0.004582921974360943,458.82075000554323
pessimistic,150,load_aware,2,2,2,t00003-c00034,34,3,3,0,3,True,False,1,422.37350007053465,1757.5343330390751,1991.0605830373242,0.013999990187585354,3748.608916066587
pessimistic,150,load_aware,2,2,2,t00003-c00047,47,3,2,0,2,True,False,1,390.75800008140504,2959.623917005956,789.0513330930844,0.005874899215996265,3748.6811249982566
pessimistic,150,load_aware,2,2,2,t00003-c00061,61,3,1,0,1,True,False,1,3748.529625008814,3748.529625008814,0.15291699673980474,0.004291068762540817,3748.6868330743164
pessimistic,150,load_aware,2,2,2,t00003-c00070,70,3,4,0,4,True,False,1,1705.617958912626,3261.7911669658497,486.90733301918954,0.004541943781077862,3748.7030419288203
pessimistic,150,load_aware,2,2,2,t00003-c00072,72,3,4,0,4,True,False,1,599.9086250085384,2959.565583965741,789.1343330265954,0.004166970029473305,3748.704083962366
pessimistic,150,load_aware,2,2,2,t00003-c00081,81,3,4,0,4,True,False,1,599.8779999790713,2959.534875000827,789.1802500234917,0.0037919962778687477,3748.7189170205966
pessimistic,150,load_aware,2,2,2,t00003-c00088,88,3,2,1,2,True,False,1,4237.287750001997,4327.30987505056,0.09166600648313761,0.005749985575675964,4327.407291042618
pessimistic,150,load_aware,2,2,2,t00003-c00125,125,3,5,0,5,True,False,1,390.61408303678036,2959.481208003126,789.221917046234,0.004207948222756386,3748.707332997583
pessimistic,150,load_aware,2,2,2,t00003-c00141,141,3,2,0,2,True,False,1,390.5939169926569,2959.461124963127,789.2453330568969,0.0036249402910470963,3748.710082960315
pessimistic,150,load_aware,2,2,2,t00004-c00072,72,4,1,0,1,True,False,1,374.2113329935819,374.2113329935819,203.4109589876607,0.010333023965358734,577.632625005208
pessimistic,150,load_aware,2,2,2,t00004-c00125,125,4,5,0,5,True,False,1,48.744000028818846,557.3116249870509,20.387249998748302,0.005083042196929455,577.7039580279961
pessimistic,150,load_aware,2,2,2,t00005-c00022,22,5,2,0,2,True,False,1,107.56195802241564,123.48879093769938,0.010917079634964466,0.009707990102469921,123.50941600743681
pessimistic,150,load_aware,2,2,2,t00005-c00045,45,5,1,0,1,True,False,1,82.59762497618794,82.59762497618794,40.95600009895861,0.005624955520033836,123.55925003066659
pessimistic,150,load_aware,2,2,2,t00006-c00005,5,6,3,0,3,True,False,1,67.82075006049126,220.86108406074345,64.45983296725899,0.014499993994832039,285.3354170219973
pessimistic,150,load_aware,2,2,2,t00006-c00022,22,6,2,0,2,True,False,1,174.53149997163564,220.83304193802178,64.55474998801947,0.006332993507385254,285.39412491954863
pessimistic,150,load_aware,2,2,2,t00006-c00061,61,6,1,0,1,True,False,1,285.25337495375425,285.25337495375425,0.14558399561792612,0.004458008334040642,285.4034169577062
pessimistic,150,load_aware,2,2,2,t00007-c00034,34,7,2,0,2,True,False,1,27.677167090587318,42.83133405260742,0.01295795664191246,0.010167015716433525,42.85445902496576
pessimistic,150,load_aware,2,2,2,t00007-c00089,89,7,3,1,3,True,False,1,123.81741695571691,201.83308294508606,0.08366699330508709,0.005542067810893059,201.92229200620204
pessimistic,150,load_aware,2,2,2,t00008-c00034,34,8,2,0,2,True,False,1,9.73399996291846,51.87533295247704,106.17074999026954,0.0112500274553895,158.05733297020197
pessimistic,150,load_aware,2,2,2,t00008-c00114,114,8,2,0,2,True,False,1,22.21245807595551,43.29391708597541,114.82249991968274,0.004708068445324898,158.12112507410347
pessimistic,150,load_aware,2,2,2,t00009-c00020,20,9,3,0,3,True,False,1,69.9684580322355,378.5892080049962,28.254125034436584,0.012542004697024822,406.8558750441298
pessimistic,150,load_aware,2,2,2,t00009-c00080,80,9,5,0,5,True,False,1,69.93783300276846,406.7973750643432,0.10933296289294958,0.006832997314631939,406.9135410245508
pessimistic,150,load_aware,2,2,2,t00009-c00088,88,9,3,0,3,True,False,1,171.81445902679116,325.3233340801671,81.58999995794147,0.00500003807246685,406.91833407618105
pessimistic,150,load_aware,2,2,2,t00010-c00089,89,10,3,4,3,True,False,1,50.30362494289875,155.53958294913173,0.018042046576738358,0.011167023330926895,155.5687920190394
pessimistic,150,load_aware,2,2,2,t00016-c00140,140,16,2,0,2,True,False,1,75.91350004076958,137.4265420017764,0.02050003968179226,0.010499963536858559,137.45754200499505
pessimistic,150,load_aware,2,2,2,t00017-c00063,63,17,3,0,3,True,False,1,16.415541991591454,42.89404198061675,0.010207993909716606,0.008125090971589088,42.912375065498054
pessimistic,150,load_aware,2,2,2,t00020-c00068,68,20,2,0,2,True,False,1,25.885167066007853,45.35891697742045,0.01025001984089613,0.008458038792014122,45.37762503605336
pessimistic,150,load_aware,2,2,2,t00021-c00021,21,21,3,0,3,True,False,1,39.24208297394216,103.13175001647323,0.01266703475266695,0.010999967344105244,103.15541701857
pessimistic,150,load_aware,2,2,2,t00022-c00012,12,22,1,0,1,True,False,1,78.90495809260756,78.90495809260756,0.008332892321050167,0.009125098586082458,78.92241608351469
pessimistic,150,load_aware,2,2,2,t00025-c00015,15,25,2,0,2,True,False,1,42.96325007453561,61.90837500616908,6.883208989165723,0.00916607677936554,68.80075007211417
pessimistic,150,load_aware,2,2,2,t00025-c00018,18,25,5,2,5,True,False,1,301.5434170374647,617.9769999580458,0.015542027540504932,0.012375065125524998,618.0049170507118
pessimistic,150,load_aware,2,2,2,t00025-c00076,76,25,2,0,2,True,False,1,9.372374974191189,68.7260830309242,0.06966700311750174,0.00558304600417614,68.80133308004588
pessimistic,150,load_aware,2,2,2,t00027-c00026,26,27,5,0,5,True,False,1,95.72762495372444,528.467542026192,19.065000000409782,0.006415997631847858,547.5389580242336
pessimistic,150,load_aware,2,2,2,t00029-c00004,4,29,2,0,2,True,False,1,164.9070829153061,532.0559999672696,129.67795797158033,0.015042023733258247,661.7489999625832
pessimistic,150,load_aware,2,2,2,t00029-c00043,43,29,2,0,2,True,False,1,164.87937502097338,532.0287910290062,129.7892089933157,0.005915993824601173,661.8239160161465
pessimistic,150,load_aware,2,2,2,t00029-c00071,71,29,1,0,1,True,False,1,661.6690830560401,661.6690830560401,0.15649991109967232,0.004417030140757561,661.8299999972805
pessimistic,150,load_aware,2,2,2,t00029-c00134,134,29,2,0,2,True,False,1,19.769417005591094,562.2091250261292,99.61991698946804,0.0038329744711518288,661.8328749900684
pessimistic,150,load_aware,2,2,2,t00030-c00131,131,30,2,0,2,True,False,1,4.735165974125266,15.770707977935672,0.009167008101940155,0.0074160052463412285,15.787290991283953
pessimistic,150,load_aware,2,2,2,t00031-c00037,37,31,2,0,2,True,False,1,62.84220889210701,105.54545896593481,0.014874967746436596,0.012457952834665775,105.57279188651592
pessimistic,150,load_aware,2,2,2,t00032-c00047,47,32,1,0,1,True,False,1,121.72816705424339,121.72816705424339,14.667249983176589,0.008791917935013771,136.404208955355
pessimistic,150,load_aware,2,2,2,t00032-c00092,92,32,2,0,2,True,False,1,126.23837497085333,136.3549999659881,0.0827079638838768,0.005708076059818268,136.4434160059318
