scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,150,multistation_rep,2,2,2,0,2,0,0.84178
pessimistic,150,multistation_rep,2,2,2,0,6,0,0.128214
pessimistic,150,multistation_rep,2,2,2,0,7,0,0.644721
pessimistic,150,multistation_rep,2,2,2,1,1,0,0.311357
pessimistic,150,multistation_rep,2,2,2,1,5,0,0.378766
pessimistic,150,multistation_rep,2,2,2,1,8,0,0.395588
pessimistic,150,multistation_rep,2,2,2,1,9,0,0.894008
pessimistic,150,multistation_rep,2,2,2,2,0,0,0.726003
pessimistic,150,multistation_rep,2,2,2,2,3,0,0.398422
pessimistic,150,multistation_rep,2,2,2,2,4,0,0.442927
pessimistic,150,multistation_rep,2,2,2,2,10,0,0.266928
pessimistic,150,multistation_rep,2,2,2,2,11,0,0.804148
