scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,multistation,2,2,2,0,2,6,0.726,2,duration,98,20,78,14,0,0,64,23,16,13,12,0,0,2169,872,1.2552,0.5046,78.85
pessimistic,150,multistation,2,2,2,1,1,5,0.3114,1,duration,75,21,54,30,0,0,24,13,5,2,3,1,0,896,447,0.6222,0.3104,33.35
pessimistic,150,multistation,2,2,2,2,0,6,0.8418,0,duration,125,24,101,50,0,0,51,21,12,6,12,0,0,1709,909,0.989,0.526,64.2
pessimistic,150,multistation,2,2,2,3,2,6,0.3984,2,duration,108,11,97,39,0,0,58,24,13,4,16,1,0,2109,783,1.2205,0.4531,76.708
pessimistic,150,multistation,2,2,2,4,2,6,0.4429,2,duration,64,15,49,44,0,0,5,0,2,0,3,0,0,202,0,0.1169,0.0,6.608
pessimistic,150,multistation,2,2,2,5,1,5,0.3788,1,duration,64,12,52,22,0,0,30,12,10,2,6,0,0,1150,500,0.7986,0.3472,37.417
pessimistic,150,multistation,2,2,2,6,0,5,0.1282,0,duration,87,14,73,54,0,0,19,8,1,4,6,0,0,741,327,0.5146,0.2271,36.45
pessimistic,150,multistation,2,2,2,7,0,4,0.6447,0,duration,164,26,138,98,0,0,40,16,15,3,6,0,0,1171,443,1.0165,0.3845,36.5
pessimistic,150,multistation,2,2,2,8,1,4,0.3956,1,duration,101,14,87,54,0,0,33,6,13,3,11,0,0,1128,202,0.9792,0.1753,35.85
pessimistic,150,multistation,2,2,2,9,1,6,0.894,1,duration,84,16,68,59,0,0,9,3,0,4,2,0,0,345,150,0.1997,0.0868,16.692
pessimistic,150,multistation,2,2,2,10,2,4,0.2669,2,duration,120,22,98,57,0,0,41,22,9,1,9,0,0,1362,624,1.1823,0.5417,51.317
pessimistic,150,multistation,2,2,2,11,2,6,0.8041,2,duration,101,10,91,52,0,0,39,17,7,5,9,1,0,1363,596,0.7888,0.3449,53.867
