scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,nearest_available,2,2,2,0,2,6,0.726,2,duration,103,23,80,10,0,0,70,30,13,12,15,0,0,2179,1000,1.261,0.5787,81.367
pessimistic,150,nearest_available,2,2,2,1,1,5,0.3114,1,duration,75,17,58,35,0,0,23,8,4,5,5,1,0,792,273,0.55,0.1896,29.958
pessimistic,150,nearest_available,2,2,2,2,0,6,0.8418,0,duration,121,17,104,68,0,0,36,16,8,2,9,1,0,1296,678,0.75,0.3924,47.733
pessimistic,150,nearest_available,2,2,2,3,2,6,0.3984,2,duration,122,15,107,43,0,0,64,25,15,5,18,1,0,2214,786,1.2812,0.4549,83.642
pessimistic,150,nearest_available,2,2,2,4,2,6,0.4429,2,duration,73,16,57,52,0,0,5,0,2,0,3,0,0,189,0,0.1094,0.0,6.242
pessimistic,150,nearest_available,2,2,2,5,1,5,0.3788,1,duration,68,14,54,26,0,0,28,10,8,4,5,1,0,1072,308,0.7444,0.2139,35.108
pessimistic,150,nearest_available,2,2,2,6,0,5,0.1282,0,duration,96,16,80,73,0,0,7,2,1,1,3,0,0,270,70,0.1875,0.0486,11.567
pessimistic,150,nearest_available,2,2,2,7,0,4,0.6447,0,duration,169,28,141,78,0,1,63,28,17,10,8,0,0,1414,598,1.2274,0.5191,50.517
pessimistic,150,nearest_available,2,2,2,8,1,4,0.3956,1,duration,114,17,97,79,0,0,18,9,2,1,6,0,0,543,288,0.4714,0.25,26.758
pessimistic,150,nearest_available,2,2,2,9,1,6,0.894,1,duration,92,15,77,68,0,0,9,3,2,2,2,0,0,248,81,0.1435,0.0469,9.175
pessimistic,150,nearest_available,2,2,2,10,2,4,0.2669,2,duration,141,41,100,25,0,2,75,26,25,5,18,1,0,1611,585,1.3984,0.5078,55.433
pessimistic,150,nearest_available,2,2,2,11,2,6,0.8041,2,duration,123,16,107,54,0,1,53,23,11,6,12,1,0,1676,800,0.9699,0.463,67.542
