scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,abandoned,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,150,random_feasible,2,2,2,t00000-c00001,1,0,1,0,1,True,False,1,1953.959250007756,1953.959250007756,4239.742749952711,0.012792064808309078,6193.7147920252755
pessimistic,150,random_feasible,2,2,2,t00000-c00027,27,0,1,0,1,True,False,1,6136.364792007953,6136.364792007953,57.39341699518263,0.0067909713834524155,6193.764999974519
pessimistic,150,random_feasible,2,2,2,t00000-c00040,40,0,2,0,2,True,False,1,1953.910292009823,2615.986124961637,3577.792250085622,0.005958951078355312,6193.784333998337
pessimistic,150,random_feasible,2,2,2,t00000-c00043,43,0,1,1,1,True,False,1,7545.513292076066,7545.513292076066,58.23179194703698,0.00458303838968277,7603.749667061493
pessimistic,150,random_feasible,2,2,2,t00000-c00045,45,0,4,0,4,True,False,1,1953.8703330326825,5242.543166037649,951.2410840252414,0.005582929588854313,6193.789832992479
pessimistic,150,random_feasible,2,2,2,t00000-c00047,47,0,2,0,2,True,False,1,98.00933406222612,5242.5263749901205,951.2750420253724,0.004875008016824722,6193.80629202351
pessimistic,150,random_feasible,2,2,2,t00000-c00050,50,0,2,0,2,True,False,1,4365.280165919103,6136.268707923591,57.54404200706631,0.004249974153935909,6193.816999904811
pessimistic,150,random_feasible,2,2,2,t00000-c00061,61,0,5,0,5,True,False,1,2203.568584052846,6193.531041964889,0.28954201843589544,0.01016608439385891,6193.830750067718
pessimistic,150,random_feasible,2,2,2,t00000-c00070,70,0,2,1,2,True,False,1,7124.377082916908,7545.424041920342,58.257166063413024,0.0040839659050107,7603.68529194966
pessimistic,150,random_feasible,2,2,2,t00000-c00072,72,0,5,0,5,True,False,1,1953.7850409979,5242.458833032288,951.3615419855341,0.003915978595614433,6193.824290996417
pessimistic,150,random_feasible,2,2,2,t00000-c00078,78,0,4,1,4,True,False,1,6836.523834033869,7603.454625001177,0.2542920410633087,0.003917026333510876,7603.712834068574
pessimistic,150,random_feasible,2,2,2,t00000-c00084,84,0,4,0,4,True,False,1,3049.012125004083,6136.185165960342,57.626084075309336,0.0032079406082630157,6193.814457976259
pessimistic,150,random_feasible,2,2,2,t00000-c00089,89,0,2,0,2,True,False,1,1350.0410420820117,4365.1803330285475,1828.6342920036986,0.0035830307751893997,6193.818208063021
pessimistic,150,random_feasible,2,2,2,t00000-c00117,117,0,4,1,3,True,False,1,6836.4737500669435,7603.404583060183,0.308374990709126,0.0038329744711518288,7603.716791025363
pessimistic,150,random_feasible,2,2,2,t00000-c00121,121,0,3,0,3,True,False,1,517.3403749940917,4365.1472920319065,1828.6606669425964,0.003958004526793957,6193.81191697903
pessimistic,150,random_feasible,2,2,2,t00000-c00125,125,0,2,0,2,True,False,1,97.84125001169741,5242.358707939275,951.4523340621963,0.0032079406082630157,6193.814249942079
pessimistic,150,random_feasible,2,2,2,t00000-c00145,145,0,6,0,6,True,False,1,517.3070409800857,6136.10183307901,57.72154196165502,0.0037499703466892242,6193.827125011012
pessimistic,150,random_feasible,2,2,2,t00000-c00148,148,0,4,0,4,True,False,1,517.291915952228,6136.086540995166,57.74133396334946,0.0038750004023313522,6193.8317499589175
pessimistic,150,random_feasible,2,2,2,t00001-c00005,5,1,2,0,2,True,False,1,502.87895801011473,855.040792026557,553.5374160390347,0.011708936654031277,1408.5899170022458
