scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,150,bramev,3,3,3,0,0,0,0.465822
pessimistic,150,bramev,3,3,3,0,0,1,0.437501
pessimistic,150,bramev,3,3,3,0,0,2,0.426488
pessimistic,150,bramev,3,3,3,0,0,3,0.416576
pessimistic,150,bramev,3,3,3,0,0,4,0.407655
pessimistic,150,bramev,3,3,3,0,0,5,0.399626
pessimistic,150,bramev,3,3,3,0,0,6,0.3924
pessimistic,150,bramev,3,3,3,0,0,7,0.385897
pessimistic,150,bramev,3,3,3,0,0,8,0.380044
pessimistic,150,bramev,3,3,3,0,0,9,0.374777
pessimistic,150,bramev,3,3,3,0,0,10,0.361236
pessimistic,150,bramev,3,3,3,0,0,11,0.356969
pessimistic,150,bramev,3,3,3,0,1,0,0.121479
pessimistic,150,bramev,3,3,3,0,1,1,0.127592
pessimistic,150,bramev,3,3,3,0,1,2,0.14757
pessimistic,150,bramev,3,3,3,0,1,3,0.16555
pessimistic,150,bramev,3,3,3,0,1,4,0.181732
pessimistic,150,bramev,3,3,3,0,1,5,0.196295
pessimistic,150,bramev,3,3,3,0,1,6,0.209403
pessimistic,150,bramev,3,3,3,0,1,7,0.221199
pessimistic,150,bramev,3,3,3,0,1,8,0.231816
pessimistic,150,bramev,3,3,3,0,1,9,0.241371
pessimistic,150,bramev,3,3,3,0,1,10,0.241171
pessimistic,150,bramev,3,3,3,0,1,11,0.248911
pessimistic,150,bramev,3,3,3,0,3,0,0.343452
pessimistic,150,bramev,3,3,3,0,3,1,0.327368
pessimistic,150,bramev,3,3,3,0,3,2,0.327368
pessimistic,150,bramev,3,3,3,0,3,3,0.327368
pessimistic,150,bramev,3,3,3,0,3,4,0.327368
pessimistic,150,bramev,3,3,3,0,3,5,0.327368
pessimistic,150,bramev,3,3,3,0,3,6,0.327368
pessimistic,150,bramev,3,3,3,0,3,7,0.327368
pessimistic,150,bramev,3,3,3,0,3,8,0.327368
pessimistic,150,bramev,3,3,3,0,3,9,0.327368
pessimistic,150,bramev,3,3,3,0,3,10,0.318568
pessimistic,150,bramev,3,3,3,0,3,11,0.318568
pessimistic,150,bramev,3,3,3,0,6,0,0.18261
pessimistic,150,bramev,3,3,3,0,6,1,0.18261
pessimistic,150,bramev,3,3,3,0,6,2,0.197086
pessimistic,150,bramev,3,3,3,0,6,3,0.210114
pessimistic,150,bramev,3,3,3,0,6,4,0.22184
pessimistic,150,bramev,3,3,3,0,6,5,0.232393
pessimistic,150,bramev,3,3,3,0,6,6,0.24189
pessimistic,150,bramev,3,3,3,0,6,7,0.250438
pessimistic,150,bramev,3,3,3,0,6,8,0.258131
pessimistic,150,bramev,3,3,3,0,6,9,0.265055
pessimistic,150,bramev,3,3,3,0,6,10,0.262486
pessimistic,150,bramev,3,3,3,0,6,11,0.268094
pessimistic,150,bramev,3,3,3,0,7,0,0.116312
pessimistic,150,bramev,3,3,3,0,7,1,0.122942
pessimistic,150,bramev,3,3,3,0,7,2,0.143385
pessimistic,150,bramev,3,3,3,0,7,3,0.161783
pessimistic,150,bramev,3,3,3,0,7,4,0.178342
pessimistic,150,bramev,3,3,3,0,7,5,0.193244
pessimistic,150,bramev,3,3,3,0,7,6,0.206657
pessimistic,150,bramev,3,3,3,0,7,7,0.218728
pessimistic,150,bramev,3,3,3,0,7,8,0.229592
pessimistic,150,bramev,3,3,3,0,7,9,0.239369
pessimistic,150,bramev,3,3,3,0,7,10,0.239369
pessimistic,150,bramev,3,3,3,0,7,11,0.247289
pessimistic,150,bramev,3,3,3,0,9,0,0.259486
pessimistic,150,bramev,3,3,3,0,9,1,0.251798
pessimistic,150,bramev,3,3,3,0,9,2,0.259355
pessimistic,150,bramev,3,3,3,0,9,3,0.266157
pessimistic,150,bramev,3,3,3,0,9,4,0.272278
pessimistic,150,bramev,3,3,3,0,9,5,0.277787
pessimistic,150,bramev,3,3,3,0,9,6,0.282745
pessimistic,150,bramev,3,3,3,0,9,7,0.287207
pessimistic,150,bramev,3,3,3,0,9,8,0.291223
pessimistic,150,bramev,3,3,3,0,9,9,0.294838
pessimistic,150,bramev,3,3,3,0,9,10,0.289291
pessimistic,150,bramev,3,3,3,0,9,11,0.292219
pessimistic,150,bramev,3,3,3,1,2,0,0.542528
pessimistic,150,bramev,3,3,3,1,2,1,0.50705
pessimistic,150,bramev,3,3,3,1,2,2,0.47512
pessimistic,150,bramev,3,3,3,1,2,3,0.446383
pessimistic,150,bramev,3,3,3,1,2,4,0.420519
pessimistic,150,bramev,3,3,3,1,2,5,0.397242
pessimistic,150,bramev,3,3,3,1,2,6,0.416164
pessimistic,150,bramev,3,3,3,1,2,7,0.397309
pessimistic,150,bramev,3,3,3,1,2,8,0.412636
pessimistic,150,bramev,3,3,3,1,2,9,0.42643
pessimistic,150,bramev,3,3,3,1,2,10,0.42643
pessimistic,150,bramev,3,3,3,1,2,11,0.414059
pessimistic,150,bramev,3,3,3,1,5,0,0.862972
pessimistic,150,bramev,3,3,3,1,5,1,0.795449
pessimistic,150,bramev,3,3,3,1,5,2,0.734679
pessimistic,150,bramev,3,3,3,1,5,3,0.679986
pessimistic,150,bramev,3,3,3,1,5,4,0.630762
pessimistic,150,bramev,3,3,3,1,5,5,0.58646
pessimistic,150,bramev,3,3,3,1,5,6,0.58646
pessimistic,150,bramev,3,3,3,1,5,7,0.550576
pessimistic,150,bramev,3,3,3,1,5,8,0.550576
pessimistic,150,bramev,3,3,3,1,5,9,0.550576
pessimistic,150,bramev,3,3,3,1,5,10,0.538161
pessimistic,150,bramev,3,3,3,1,5,11,0.514618
pessimistic,150,bramev,3,3,3,1,8,0,0.351456
pessimistic,150,bramev,3,3,3,1,8,1,0.335085
pessimistic,150,bramev,3,3,3,1,8,2,0.320351
pessimistic,150,bramev,3,3,3,1,8,3,0.307091
pessimistic,150,bramev,3,3,3,1,8,4,0.295156
pessimistic,150,bramev,3,3,3,1,8,5,0.284416
pessimistic,150,bramev,3,3,3,1,8,6,0.31462
pessimistic,150,bramev,3,3,3,1,8,7,0.30592
pessimistic,150,bramev,3,3,3,1,8,8,0.330385
pessimistic,150,bramev,3,3,3,1,8,9,0.352405
pessimistic,150,bramev,3,3,3,1,8,10,0.359807
pessimistic,150,bramev,3,3,3,1,8,11,0.354099
pessimistic,150,bramev,3,3,3,1,10,0,0.187747
pessimistic,150,bramev,3,3,3,1,10,1,0.187747
pessimistic,150,bramev,3,3,3,1,10,2,0.187747
pessimistic,150,bramev,3,3,3,1,10,3,0.187747
pessimistic,150,bramev,3,3,3,1,10,4,0.187747
pessimistic,150,bramev,3,3,3,1,10,5,0.187747
pessimistic,150,bramev,3,3,3,1,10,6,0.227618
pessimistic,150,bramev,3,3,3,1,10,7,0.227618
pessimistic,150,bramev,3,3,3,1,10,8,0.259914
pessimistic,150,bramev,3,3,3,1,10,9,0.28898
pessimistic,150,bramev,3,3,3,1,10,10,0.302725
pessimistic,150,bramev,3,3,3,1,10,11,0.302725
