scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,bramev_global_rep,3,3,3,0,0,5,0.3658,0,duration,59,21,38,26,0,0,12,5,1,2,3,1,0,331,155,0.2299,0.1076,13.533
pessimistic,150,bramev_global_rep,3,3,3,1,0,4,0.2577,0,duration,69,22,47,36,0,0,11,3,4,0,4,0,0,387,86,0.3359,0.0747,13.492
pessimistic,150,bramev_global_rep,3,3,3,2,1,5,0.4003,0,duration,81,20,61,13,0,0,48,20,6,5,15,2,0,1510,596,1.0486,0.4139,63.408
pessimistic,150,bramev_global_rep,3,3,3,3,0,4,0.3274,0,duration,161,58,103,38,0,1,65,34,11,9,11,0,0,1517,785,1.3168,0.6814,59.375
pessimistic,150,bramev_global_rep,3,3,3,4,2,5,0.8397,0,duration,115,34,81,10,0,1,71,25,16,10,18,2,0,2058,730,1.4292,0.5069,76.358
pessimistic,150,bramev_global_rep,3,3,3,5,1,5,0.5009,0,duration,117,22,95,51,0,0,44,18,10,6,10,0,0,1586,612,1.1014,0.425,56.175
pessimistic,150,bramev_global_rep,3,3,3,6,0,5,0.2769,0,duration,87,24,63,31,0,0,32,14,11,3,4,0,0,1053,391,0.7312,0.2715,31.4
pessimistic,150,bramev_global_rep,3,3,3,7,0,6,0.2561,0,duration,98,22,76,42,0,0,34,14,6,5,9,0,0,1283,488,0.7425,0.2824,52.242
pessimistic,150,bramev_global_rep,3,3,3,8,1,5,0.3404,0,duration,68,22,46,44,0,0,2,1,1,0,0,0,0,64,37,0.0444,0.0257,1.542
pessimistic,150,bramev_global_rep,3,3,3,9,0,5,0.301,0,duration,82,23,59,57,0,0,2,2,0,0,0,0,0,77,77,0.0535,0.0535,4.842
pessimistic,150,bramev_global_rep,3,3,3,10,1,5,0.289,0,duration,151,53,98,14,0,2,84,29,22,13,19,1,0,1984,671,1.3778,0.466,62.383
pessimistic,150,bramev_global_rep,3,3,3,11,2,5,0.8132,0,duration,135,27,108,53,0,0,55,27,10,7,10,1,0,1860,963,1.2917,0.6687,71.525
