scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,150,greedy,3,3,3,0,0,0,0.465822
pessimistic,150,greedy,3,3,3,0,1,0,0.121479
pessimistic,150,greedy,3,3,3,0,3,0,0.343452
pessimistic,150,greedy,3,3,3,0,6,0,0.18261
pessimistic,150,greedy,3,3,3,0,7,0,0.116312
pessimistic,150,greedy,3,3,3,0,9,0,0.259486
pessimistic,150,greedy,3,3,3,1,2,0,0.542528
pessimistic,150,greedy,3,3,3,1,5,0,0.862972
pessimistic,150,greedy,3,3,3,1,8,0,0.351456
pessimistic,150,greedy,3,3,3,1,10,0,0.187747
pessimistic,150,greedy,3,3,3,2,4,0,0.878238
pessimistic,150,greedy,3,3,3,2,11,0,0.793941
