scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,abandoned,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,150,greedy,3,3,3,t00000-c00000,0,0,1,0,1,True,False,1,397.2332499688491,397.2332499688491,245.0584580656141,0.010999967344105244,642.3027080018073
pessimistic,150,greedy,3,3,3,t00000-c00013,13,0,1,1,1,True,False,1,830.9529999969527,830.9529999969527,206.19874994736165,0.012750038877129555,1037.1644999831915
pessimistic,150,greedy,3,3,3,t00000-c00018,18,0,1,0,1,True,False,1,483.6574998917058,483.6574998917058,158.6576250847429,0.005749985575675964,642.3208749620244
pessimistic,150,greedy,3,3,3,t00000-c00027,27,0,1,1,1,True,False,1,830.9072919655591,830.9072919655591,206.2839170685038,0.005582929588854313,1037.1967919636518
pessimistic,150,greedy,3,3,3,t00000-c00033,33,0,1,0,1,True,False,1,373.0734999990091,373.0734999990091,269.23041697591543,0.0037919962778687477,642.3077089712024
pessimistic,150,greedy,3,3,3,t00000-c00038,38,0,1,0,1,True,False,1,41.98766709305346,41.98766709305346,600.3208329202607,0.00400003045797348,642.3125000437722
pessimistic,150,greedy,3,3,3,t00000-c00041,41,0,1,0,1,True,False,1,612.1850420022383,612.1850420022383,30.13391699641943,0.0038329744711518288,642.3227919731289
pessimistic,150,greedy,3,3,3,t00000-c00078,78,0,1,0,1,True,False,1,373.01687500439584,373.01687500439584,269.3127919919789,0.0036660348996520042,642.3333330312744
pessimistic,150,greedy,3,3,3,t00000-c00097,97,0,1,0,1,True,False,1,372.99929198343307,372.99929198343307,269.33337503578514,0.0033329706639051437,642.3359999898821
pessimistic,150,greedy,3,3,3,t00000-c00101,101,0,1,0,1,True,False,1,612.132832990028,612.132832990028,30.206708004698157,0.00300002284348011,642.3425410175696
pessimistic,150,greedy,3,3,3,t00000-c00105,105,0,1,0,1,True,False,1,483.51062496658415,483.51062496658415,158.83500000927597,0.0032080570235848427,642.3488330328837
pessimistic,150,greedy,3,3,3,t00000-c00112,112,0,1,0,1,True,False,1,642.0585829764605,642.0585829764605,0.2879590028896928,0.003291061148047447,642.3498330404982
pessimistic,150,greedy,3,3,3,t00000-c00127,127,0,1,1,1,True,False,1,830.7476660702378,830.7476660702378,206.41883392818272,0.0033329706639051437,1037.1698329690844
pessimistic,150,greedy,3,3,3,t00001-c00038,38,1,1,0,1,True,False,1,230.60758400242776,230.60758400242776,163.11412502545863,0.004415982402861118,393.72612501028925
pessimistic,150,greedy,3,3,3,t00001-c00041,41,1,1,0,1,True,False,1,365.4414169723168,365.4414169723168,28.278333018533885,0.003459048457443714,393.72320903930813
pessimistic,150,greedy,3,3,3,t00001-c00075,75,1,1,0,1,True,False,1,393.54283397551626,393.54283397551626,0.17487502191215754,0.003249966539442539,393.72095896396786
pessimistic,150,greedy,3,3,3,t00001-c00101,101,1,1,0,1,True,False,1,365.3959999792278,365.3959999792278,28.336500050500035,0.0037909485399723053,393.7362909782678
pessimistic,150,greedy,3,3,3,t00002-c00075,75,2,1,0,1,True,False,1,73.14062502700835,73.14062502700835,96.23399993870407,0.013125012628734112,169.38774997834116
pessimistic,150,greedy,3,3,3,t00002-c00126,126,2,1,0,1,True,False,1,169.325708062388,169.325708062388,0.0967920059338212,0.005541020072996616,169.42804108839482
pessimistic,150,greedy,3,3,3,t00004-c00015,15,4,1,0,1,True,False,1,88.40904105454683,88.40904105454683,0.01033395528793335,0.011416035704314709,88.43079104553908
pessimistic,150,greedy,3,3,3,t00004-c00126,126,4,1,0,1,True,False,1,69.55808401107788,69.55808401107788,18.899957998655736,0.004582921974360943,88.46262493170798
