scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,150,load_aware,3,3,3,0,4,0.4122,0.0
pessimistic,150,load_aware,3,3,3,33,3,0.3422,5.0
pessimistic,150,load_aware,3,3,3,38,2,0.6116,0.0
pessimistic,150,load_aware,3,3,3,41,10,0.2731,0.0
pessimistic,150,load_aware,3,3,3,78,3,0.9028,0.0
pessimistic,150,load_aware,3,3,3,97,3,0.7211,5.0
pessimistic,150,load_aware,3,3,3,101,10,0.5877,0.0
pessimistic,150,load_aware,3,3,3,105,5,0.7684,0.0
pessimistic,150,load_aware,3,3,3,112,11,0.6027,0.0
pessimistic,150,load_aware,3,3,3,27,6,1.4529,5.0
pessimistic,150,load_aware,3,3,3,38,4,0.3083,0.0
pessimistic,150,load_aware,3,3,3,41,10,0.2731,0.0
pessimistic,150,load_aware,3,3,3,75,7,0.8275,5.0
pessimistic,150,load_aware,3,3,3,127,6,1.3891,5.0
pessimistic,150,load_aware,3,3,3,126,7,0.8067,0.0
pessimistic,150,load_aware,3,3,3,97,4,0.4212,0.0
pessimistic,150,load_aware,3,3,3,97,4,0.4212,0.0
pessimistic,150,load_aware,3,3,3,109,1,0.9953,0.0
pessimistic,150,load_aware,3,3,3,124,0,0.368,0.0
pessimistic,150,load_aware,3,3,3,106,7,0.7655,0.0
pessimistic,150,load_aware,3,3,3,106,2,0.9347,0.0
pessimistic,150,load_aware,3,3,3,8,10,0.5455,0.0
pessimistic,150,load_aware,3,3,3,2,10,0.4557,0.0
pessimistic,150,load_aware,3,3,3,8,10,0.4557,0.0
pessimistic,150,load_aware,3,3,3,79,2,0.9125,0.0
pessimistic,150,load_aware,3,3,3,2,10,0.4557,0.0
pessimistic,150,load_aware,3,3,3,8,4,0.3083,0.0
pessimistic,150,load_aware,3,3,3,79,2,0.7232,0.0
pessimistic,150,load_aware,3,3,3,8,4,0.3083,5.0
pessimistic,150,load_aware,3,3,3,32,10,0.4557,5.0
pessimistic,150,load_aware,3,3,3,148,3,0.438,0.0
pessimistic,150,load_aware,3,3,3,88,11,0.9921,0.0
pessimistic,150,load_aware,3,3,3,96,5,0.9369,0.0
pessimistic,150,load_aware,3,3,3,39,11,0.7113,5.0
pessimistic,150,load_aware,3,3,3,45,5,0.9161,5.0
pessimistic,150,load_aware,3,3,3,139,9,0.5071,0.0
pessimistic,150,load_aware,3,3,3,32,1,0.8594,0.0
pessimistic,150,load_aware,3,3,3,57,5,0.8276,5.0
pessimistic,150,load_aware,3,3,3,15,4,0.9067,0.0
pessimistic,150,load_aware,3,3,3,15,4,0.2819,5.0
pessimistic,150,load_aware,3,3,3,144,7,0.8035,5.0
pessimistic,150,load_aware,3,3,3,43,10,0.1892,0.0
pessimistic,150,load_aware,3,3,3,149,0,0.5456,0.0
pessimistic,150,load_aware,3,3,3,18,2,0.7289,5.0
pessimistic,150,load_aware,3,3,3,31,9,0.5152,0.0
pessimistic,150,load_aware,3,3,3,31,9,0.4264,0.0
pessimistic,150,load_aware,3,3,3,149,2,0.6481,20.0
pessimistic,150,load_aware,3,3,3,104,6,1.2878,0.0
pessimistic,150,load_aware,3,3,3,15,4,0.9219,0.0
pessimistic,150,load_aware,3,3,3,15,10,0.2278,30.0
pessimistic,150,load_aware,3,3,3,61,7,0.7072,0.0
pessimistic,150,load_aware,3,3,3,15,5,0.5686,0.0
pessimistic,150,load_aware,3,3,3,18,2,0.4904,0.0
pessimistic,150,load_aware,3,3,3,31,5,0.5652,0.0
pessimistic,150,load_aware,3,3,3,92,3,1.1501,0.0
pessimistic,150,load_aware,3,3,3,15,11,0.7113,0.0
pessimistic,150,load_aware,3,3,3,115,11,0.7113,0.0
pessimistic,150,load_aware,3,3,3,37,4,0.3083,0.0
pessimistic,150,load_aware,3,3,3,61,5,0.5397,0.0
pessimistic,150,load_aware,3,3,3,75,4,0.2881,0.0
pessimistic,150,load_aware,3,3,3,113,3,0.5975,0.0
pessimistic,150,load_aware,3,3,3,31,7,0.8979,5.0
pessimistic,150,load_aware,3,3,3,85,11,0.7113,0.0
pessimistic,150,load_aware,3,3,3,111,10,0.4557,50.0
pessimistic,150,load_aware,3,3,3,67,4,0.3552,5.0
pessimistic,150,load_aware,3,3,3,85,11,0.7113,5.0
pessimistic,150,load_aware,3,3,3,113,5,0.5287,0.0
pessimistic,150,load_aware,3,3,3,113,5,0.5287,0.0
pessimistic,150,load_aware,3,3,3,17,3,0.63,0.0
pessimistic,150,load_aware,3,3,3,20,7,0.6855,0.0
pessimistic,150,load_aware,3,3,3,108,5,0.6482,5.0
pessimistic,150,load_aware,3,3,3,36,4,0.7019,0.0
pessimistic,150,load_aware,3,3,3,129,3,0.4826,5.0
pessimistic,150,load_aware,3,3,3,17,3,1.1501,0.0
pessimistic,150,load_aware,3,3,3,95,10,0.5278,80.0
pessimistic,150,load_aware,3,3,3,95,10,0.1834,35.0
pessimistic,150,load_aware,3,3,3,113,5,0.4974,45.0
pessimistic,150,load_aware,3,3,3,95,10,0.1162,25.0
pessimistic,150,load_aware,3,3,3,101,11,0.7113,55.0
pessimistic,150,load_aware,3,3,3,25,4,0.3083,85.0
pessimistic,150,load_aware,3,3,3,60,9,1.3898,0.0
pessimistic,150,load_aware,3,3,3,93,4,0.3083,95.0
pessimistic,150,load_aware,3,3,3,141,7,0.862,5.0
pessimistic,150,load_aware,3,3,3,113,3,0.473,0.0
pessimistic,150,load_aware,3,3,3,126,7,0.8459,0.0
pessimistic,150,load_aware,3,3,3,12,3,1.1501,0.0
pessimistic,150,load_aware,3,3,3,30,5,0.839,0.0
pessimistic,150,load_aware,3,3,3,94,4,0.3083,115.0
pessimistic,150,load_aware,3,3,3,90,3,1.1501,65.0
pessimistic,150,load_aware,3,3,3,113,3,0.9868,85.0
pessimistic,150,load_aware,3,3,3,132,10,0.2092,30.0
pessimistic,150,load_aware,3,3,3,147,4,0.3083,110.0
pessimistic,150,load_aware,3,3,3,13,3,1.1501,130.0
pessimistic,150,load_aware,3,3,3,132,11,0.5719,50.0
pessimistic,150,load_aware,3,3,3,7,10,0.4557,5.0
pessimistic,150,load_aware,3,3,3,143,11,0.7113,30.0
pessimistic,150,load_aware,3,3,3,8,1,0.9234,0.0
pessimistic,150,load_aware,3,3,3,8,4,0.3713,130.0
pessimistic,150,load_aware,3,3,3,54,11,0.7113,95.0
pessimistic,150,load_aware,3,3,3,25,3,1.1086,75.0
pessimistic,150,load_aware,3,3,3,54,5,0.6667,60.0
pessimistic,150,load_aware,3,3,3,132,3,0.6661,110.0
pessimistic,150,load_aware,3,3,3,81,1,0.7703,0.0
pessimistic,150,load_aware,3,3,3,103,10,0.3513,115.0
pessimistic,150,load_aware,3,3,3,29,10,0.4215,165.0
pessimistic,150,load_aware,3,3,3,86,11,0.6518,0.0
