scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,150,min_waiting,3,3,3,0,4,0.4122,0.0
pessimistic,150,min_waiting,3,3,3,33,6,0.6122,0.0
pessimistic,150,min_waiting,3,3,3,38,2,0.6116,0.0
pessimistic,150,min_waiting,3,3,3,41,10,0.2731,0.0
pessimistic,150,min_waiting,3,3,3,78,3,0.9028,0.0
pessimistic,150,min_waiting,3,3,3,97,4,0.9648,0.0
pessimistic,150,min_waiting,3,3,3,101,10,0.5877,0.0
pessimistic,150,min_waiting,3,3,3,105,5,0.7684,0.0
pessimistic,150,min_waiting,3,3,3,112,11,0.6027,0.0
pessimistic,150,min_waiting,3,3,3,27,3,1.0645,0.0
pessimistic,150,min_waiting,3,3,3,38,4,0.3083,0.0
pessimistic,150,min_waiting,3,3,3,41,10,0.2731,0.0
pessimistic,150,min_waiting,3,3,3,75,11,0.5878,0.0
pessimistic,150,min_waiting,3,3,3,127,3,1.0647,0.0
pessimistic,150,min_waiting,3,3,3,126,7,0.8067,0.0
pessimistic,150,min_waiting,3,3,3,97,4,0.2819,0.0
pessimistic,150,min_waiting,3,3,3,97,4,0.2819,0.0
pessimistic,150,min_waiting,3,3,3,109,6,0.9545,0.0
pessimistic,150,min_waiting,3,3,3,124,1,0.0924,0.0
pessimistic,150,min_waiting,3,3,3,106,11,0.6326,0.0
pessimistic,150,min_waiting,3,3,3,106,10,0.5708,0.0
pessimistic,150,min_waiting,3,3,3,8,10,0.5455,0.0
pessimistic,150,min_waiting,3,3,3,2,10,0.4557,0.0
pessimistic,150,min_waiting,3,3,3,8,10,0.4557,5.0
pessimistic,150,min_waiting,3,3,3,79,2,0.9125,0.0
pessimistic,150,min_waiting,3,3,3,2,10,0.4557,0.0
pessimistic,150,min_waiting,3,3,3,79,2,0.7232,0.0
pessimistic,150,min_waiting,3,3,3,8,10,0.3492,5.0
pessimistic,150,min_waiting,3,3,3,8,11,0.7113,0.0
pessimistic,150,min_waiting,3,3,3,32,10,0.4557,0.0
pessimistic,150,min_waiting,3,3,3,148,3,0.438,0.0
pessimistic,150,min_waiting,3,3,3,88,5,0.755,0.0
pessimistic,150,min_waiting,3,3,3,96,5,0.9369,0.0
pessimistic,150,min_waiting,3,3,3,32,2,0.4264,0.0
pessimistic,150,min_waiting,3,3,3,39,11,0.7113,0.0
pessimistic,150,min_waiting,3,3,3,45,11,0.5891,5.0
pessimistic,150,min_waiting,3,3,3,139,0,0.3998,0.0
pessimistic,150,min_waiting,3,3,3,57,11,0.5526,0.0
pessimistic,150,min_waiting,3,3,3,15,2,0.7219,0.0
pessimistic,150,min_waiting,3,3,3,15,4,0.9067,0.0
pessimistic,150,min_waiting,3,3,3,144,7,0.8035,0.0
pessimistic,150,min_waiting,3,3,3,43,10,0.1892,0.0
pessimistic,150,min_waiting,3,3,3,149,0,0.5456,0.0
pessimistic,150,min_waiting,3,3,3,18,2,0.7289,5.0
pessimistic,150,min_waiting,3,3,3,31,6,0.3093,0.0
pessimistic,150,min_waiting,3,3,3,31,7,0.1164,0.0
pessimistic,150,min_waiting,3,3,3,149,2,0.6481,0.0
pessimistic,150,min_waiting,3,3,3,104,6,1.2878,0.0
pessimistic,150,min_waiting,3,3,3,15,10,0.1457,75.0
pessimistic,150,min_waiting,3,3,3,2,3,0.4425,25.0
pessimistic,150,min_waiting,3,3,3,61,7,0.7072,0.0
pessimistic,150,min_waiting,3,3,3,18,2,0.4904,5.0
pessimistic,150,min_waiting,3,3,3,31,11,0.4513,0.0
pessimistic,150,min_waiting,3,3,3,92,3,1.1501,5.0
pessimistic,150,min_waiting,3,3,3,115,11,0.7113,0.0
pessimistic,150,min_waiting,3,3,3,2,3,1.0635,0.0
pessimistic,150,min_waiting,3,3,3,37,4,0.3083,0.0
pessimistic,150,min_waiting,3,3,3,61,5,0.5397,0.0
pessimistic,150,min_waiting,3,3,3,2,3,1.0635,0.0
pessimistic,150,min_waiting,3,3,3,75,4,0.2881,0.0
pessimistic,150,min_waiting,3,3,3,113,3,0.5975,75.0
pessimistic,150,min_waiting,3,3,3,15,4,0.1718,0.0
pessimistic,150,min_waiting,3,3,3,31,11,0.5614,0.0
pessimistic,150,min_waiting,3,3,3,15,10,0.1833,30.0
pessimistic,150,min_waiting,3,3,3,85,11,0.7113,45.0
pessimistic,150,min_waiting,3,3,3,111,10,0.4557,95.0
pessimistic,150,min_waiting,3,3,3,15,2,0.4617,0.0
pessimistic,150,min_waiting,3,3,3,67,4,0.3552,5.0
pessimistic,150,min_waiting,3,3,3,85,11,0.7113,25.0
pessimistic,150,min_waiting,3,3,3,17,3,0.63,70.0
pessimistic,150,min_waiting,3,3,3,20,7,0.6855,0.0
pessimistic,150,min_waiting,3,3,3,108,5,0.6482,5.0
pessimistic,150,min_waiting,3,3,3,36,4,0.7019,0.0
pessimistic,150,min_waiting,3,3,3,129,3,0.4826,50.0
pessimistic,150,min_waiting,3,3,3,95,10,0.5278,0.0
pessimistic,150,min_waiting,3,3,3,17,7,2.026,0.0
pessimistic,150,min_waiting,3,3,3,95,10,0.1834,0.0
pessimistic,150,min_waiting,3,3,3,95,10,0.1162,0.0
pessimistic,150,min_waiting,3,3,3,101,11,0.7113,50.0
pessimistic,150,min_waiting,3,3,3,113,5,0.5287,50.0
pessimistic,150,min_waiting,3,3,3,113,5,0.5287,35.0
pessimistic,150,min_waiting,3,3,3,25,4,0.3083,90.0
pessimistic,150,min_waiting,3,3,3,60,6,1.1276,0.0
pessimistic,150,min_waiting,3,3,3,93,4,0.3083,95.0
pessimistic,150,min_waiting,3,3,3,141,7,0.862,5.0
pessimistic,150,min_waiting,3,3,3,126,7,0.8459,0.0
pessimistic,150,min_waiting,3,3,3,113,5,0.4974,0.0
pessimistic,150,min_waiting,3,3,3,12,3,1.1501,0.0
pessimistic,150,min_waiting,3,3,3,30,5,0.839,80.0
pessimistic,150,min_waiting,3,3,3,94,4,0.3083,115.0
pessimistic,150,min_waiting,3,3,3,13,3,0.8339,0.0
pessimistic,150,min_waiting,3,3,3,90,3,1.1501,70.0
pessimistic,150,min_waiting,3,3,3,132,10,0.2092,110.0
pessimistic,150,min_waiting,3,3,3,147,4,0.3083,110.0
pessimistic,150,min_waiting,3,3,3,132,11,0.5719,45.0
pessimistic,150,min_waiting,3,3,3,113,6,1.388,0.0
pessimistic,150,min_waiting,3,3,3,7,10,0.4557,85.0
pessimistic,150,min_waiting,3,3,3,8,3,0.6925,150.0
pessimistic,150,min_waiting,3,3,3,143,11,0.7113,85.0
pessimistic,150,min_waiting,3,3,3,2,10,0.4557,160.0
pessimistic,150,min_waiting,3,3,3,8,4,0.3083,110.0
pessimistic,150,min_waiting,3,3,3,113,7,0.7982,0.0
pessimistic,150,min_waiting,3,3,3,54,11,0.7113,130.0
pessimistic,150,min_waiting,3,3,3,54,5,0.6667,0.0
pessimistic,150,min_waiting,3,3,3,132,3,0.6661,105.0
pessimistic,150,min_waiting,3,3,3,64,11,0.6261,0.0
pessimistic,150,min_waiting,3,3,3,81,1,0.7703,0.0
pessimistic,150,min_waiting,3,3,3,25,6,1.6454,0.0
pessimistic,150,min_waiting,3,3,3,29,10,0.4215,165.0
pessimistic,150,min_waiting,3,3,3,54,5,0.6667,5.0
pessimistic,150,min_waiting,3,3,3,86,5,0.9672,35.0
pessimistic,150,min_waiting,3,3,3,84,2,0.5978,0.0
pessimistic,150,min_waiting,3,3,3,86,5,0.7617,30.0
pessimistic,150,min_waiting,3,3,3,103,0,1.7382,0.0
pessimistic,150,min_waiting,3,3,3,122,10,0.4145,170.0
pessimistic,150,min_waiting,3,3,3,103,10,0.4266,145.0
pessimistic,150,min_waiting,3,3,3,56,10,0.4557,145.0
pessimistic,150,min_waiting,3,3,3,64,11,0.303,0.0
pessimistic,150,min_waiting,3,3,3,69,3,1.1501,150.0
pessimistic,150,min_waiting,3,3,3,86,10,0.5222,145.0
pessimistic,150,min_waiting,3,3,3,51,9,0.0311,0.0
pessimistic,150,min_waiting,3,3,3,62,6,1.3636,55.0
pessimistic,150,min_waiting,3,3,3,89,1,1.3742,0.0
pessimistic,150,min_waiting,3,3,3,123,2,0.9578,5.0
