scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,abandoned,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,150,nearest_available,3,3,3,t00000-c00000,0,0,1,0,1,True,False,1,491.6885419515893,491.6885419515893,927.6038330281153,0.012833974324166775,1419.3052089540288
pessimistic,150,nearest_available,3,3,3,t00000-c00013,13,0,4,1,4,True,False,1,1606.7916670581326,2768.220709054731,164.38970796298236,0.013042008504271507,2932.6234590262175
pessimistic,150,nearest_available,3,3,3,t00000-c00018,18,0,1,0,1,True,False,1,1144.7536669438705,1144.7536669438705,274.5726660359651,0.00608398113399744,1419.3324169609696
pessimistic,150,nearest_available,3,3,3,t00000-c00027,27,0,2,1,2,True,False,1,1606.745666009374,2241.497499984689,691.150457947515,0.006125075742602348,2932.6540830079466
pessimistic,150,nearest_available,3,3,3,t00000-c00033,33,0,4,0,4,True,False,1,54.81791601050645,1260.3520000120625,158.96487492136657,0.005791080184280872,1419.3226660136133
pessimistic,150,nearest_available,3,3,3,t00000-c00038,38,0,1,0,1,True,False,1,95.39366699755192,95.39366699755192,1323.9278749097139,0.0038330908864736557,1419.3253749981523
pessimistic,150,nearest_available,3,3,3,t00000-c00041,41,0,1,0,1,True,False,1,1389.1287080477923,1389.1287080477923,30.20720893982798,0.003750086762011051,1419.3396670743823
pessimistic,150,nearest_available,3,3,3,t00000-c00078,78,0,1,0,1,True,False,1,428.60166705213487,428.60166705213487,990.7417499925941,0.0032919924706220627,1419.3467090371996
pessimistic,150,nearest_available,3,3,3,t00000-c00097,97,0,3,0,3,True,False,1,54.73879200872034,491.5105840191245,927.8356659924611,0.0038339057937264442,1419.3500839173794
pessimistic,150,nearest_available,3,3,3,t00000-c00101,101,0,1,0,1,True,False,1,1389.0703750075772,1389.0703750075772,30.28025000821799,0.0031669624149799347,1419.3537919782102
pessimistic,150,nearest_available,3,3,3,t00000-c00105,105,0,1,0,1,True,False,1,1144.5953749353066,1144.5953749353066,274.75812507327646,0.003166031092405319,1419.3566660396755
pessimistic,150,nearest_available,3,3,3,t00000-c00112,112,0,3,0,3,True,False,1,1144.5767079712823,1419.0463749691844,0.30675006564706564,0.0032079406082630157,1419.3563329754397
pessimistic,150,nearest_available,3,3,3,t00000-c00127,127,0,2,1,2,True,False,1,1606.5698750317097,2241.3220410235226,691.2900420138612,0.003500026650726795,2932.6155830640346
pessimistic,150,nearest_available,3,3,3,t00001-c00038,38,1,1,0,1,True,False,1,229.60024990607053,229.60024990607053,1282.5522500788793,0.004958012141287327,1512.1574579970911
pessimistic,150,nearest_available,3,3,3,t00001-c00041,41,1,1,0,1,True,False,1,1483.9068329893053,1483.9068329893053,28.24637503363192,0.0038329744711518288,1512.1570409974083
pessimistic,150,nearest_available,3,3,3,t00001-c00075,75,1,3,0,3,True,False,1,249.11754205822945,1511.9738340144977,0.18325005657970905,0.0037499703466892242,1512.160834041424
pessimistic,150,nearest_available,3,3,3,t00001-c00101,101,1,1,0,1,True,False,1,1483.8659160304815,1483.8659160304815,28.30691693816334,0.0037080608308315277,1512.1765410294756
pessimistic,150,nearest_available,3,3,3,t00002-c00075,75,2,2,0,2,True,False,1,292.3652500612661,868.6740420525894,0.01962494570761919,0.013792072422802448,868.7074590707198
pessimistic,150,nearest_available,3,3,3,t00002-c00126,126,2,3,0,3,True,False,1,72.20220798626542,868.6423329636455,0.09708397556096315,0.005500041879713535,868.7449169810861
pessimistic,150,nearest_available,3,3,3,t00004-c00015,15,4,1,0,1,True,False,1,87.4058339977637,87.4058339977637,0.009375042282044888,0.010791001841425896,87.42600004188716
pessimistic,150,nearest_available,3,3,3,t00004-c00126,126,4,1,0,1,True,False,1,68.92383308149874,68.92383308149874,18.539458978921175,0.005875015631318092,87.46916707605124
pessimistic,150,nearest_available,3,3,3,t00005-c00097,97,5,1,0,1,True,False,1,17.644583014771342,17.644583014771342,0.007833004929125309,0.0072499969974160194,17.659666016697884
pessimistic,150,nearest_available,3,3,3,t00006-c00097,97,6,1,0,1,True,False,1,20.87395905982703,20.87395905982703,0.007916009053587914,0.006792019121348858,20.888667088001966
pessimistic,150,nearest_available,3,3,3,t00007-c00109,109,7,3,0,3,True,False,1,35.98637494724244,109.66283304151148,0.014374963939189911,0.011292053386569023,109.68850005883723
pessimistic,150,nearest_available,3,3,3,t00009-c00124,124,9,6,0,6,True,False,1,33.24133297428489,189.78762498591095,0.022582942619919777,0.011333031579852104,189.82154096011072
pessimistic,150,nearest_available,3,3,3,t00012-c00022,22,12,2,0,2,True,False,1,41.45887494087219,113.99437498766929,30.44270898681134,0.010624993592500687,144.44770896807313
pessimistic,150,nearest_available,3,3,3,t00012-c00106,106,12,3,0,3,True,False,1,59.041791944764555,144.39066697377712,0.08045800495892763,0.005458015948534012,144.47658299468458
pessimistic,150,nearest_available,3,3,3,t00013-c00106,106,13,2,0,2,True,False,1,22.547040949575603,34.0225410182029,0.009584007784724236,0.008416012860834599,34.04054103884846
pessimistic,150,nearest_available,3,3,3,t00014-c00008,8,14,1,0,1,True,False,1,14.556457987055182,14.556457987055182,0.005833921022713184,0.007875030860304832,14.5701669389382
pessimistic,150,nearest_available,3,3,3,t00015-c00002,2,15,1,0,1,True,False,1,60.67020900081843,60.67020900081843,0.007333001121878624,0.0077500008046627045,60.68529200274497
pessimistic,150,nearest_available,3,3,3,t00015-c00008,8,15,1,0,1,True,False,1,60.644667013548315,60.644667013548315,0.06325007416307926,0.005082925781607628,60.713000013493
pessimistic,150,nearest_available,3,3,3,t00015-c00079,79,15,2,0,2,True,False,1,26.263791020028293,60.618125018663704,0.09816593956202269,0.004375004209578037,60.720665962435305
