scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,150,random_feasible,3,3,3,0,4,0.4122,0.0
pessimistic,150,random_feasible,3,3,3,33,8,0.9935,0.0
pessimistic,150,random_feasible,3,3,3,38,2,0.6116,0.0
pessimistic,150,random_feasible,3,3,3,41,10,0.2731,0.0
pessimistic,150,random_feasible,3,3,3,78,3,0.9028,0.0
pessimistic,150,random_feasible,3,3,3,97,1,0.9543,5.0
pessimistic,150,random_feasible,3,3,3,101,10,0.5877,0.0
pessimistic,150,random_feasible,3,3,3,105,5,0.7684,0.0
pessimistic,150,random_feasible,3,3,3,112,5,0.8984,0.0
pessimistic,150,random_feasible,3,3,3,27,3,1.0645,0.0
pessimistic,150,random_feasible,3,3,3,38,4,0.3083,0.0
pessimistic,150,random_feasible,3,3,3,41,10,0.2731,0.0
pessimistic,150,random_feasible,3,3,3,75,5,0.8915,0.0
pessimistic,150,random_feasible,3,3,3,127,6,1.3891,5.0
pessimistic,150,random_feasible,3,3,3,126,5,0.897,0.0
pessimistic,150,random_feasible,3,3,3,97,2,0.6183,0.0
pessimistic,150,random_feasible,3,3,3,97,2,0.6183,0.0
pessimistic,150,random_feasible,3,3,3,109,3,0.0855,0.0
pessimistic,150,random_feasible,3,3,3,124,6,0.7215,0.0
pessimistic,150,random_feasible,3,3,3,106,7,0.7655,0.0
pessimistic,150,random_feasible,3,3,3,106,2,0.9347,5.0
pessimistic,150,random_feasible,3,3,3,8,10,0.5455,0.0
pessimistic,150,random_feasible,3,3,3,2,10,0.4557,0.0
pessimistic,150,random_feasible,3,3,3,8,10,0.4557,0.0
pessimistic,150,random_feasible,3,3,3,79,10,0.8311,65.0
pessimistic,150,random_feasible,3,3,3,2,10,0.4557,0.0
pessimistic,150,random_feasible,3,3,3,8,4,0.3083,5.0
pessimistic,150,random_feasible,3,3,3,79,4,0.9045,0.0
pessimistic,150,random_feasible,3,3,3,8,4,0.3083,0.0
pessimistic,150,random_feasible,3,3,3,32,10,0.4557,5.0
pessimistic,150,random_feasible,3,3,3,148,3,0.438,0.0
pessimistic,150,random_feasible,3,3,3,88,5,0.755,0.0
pessimistic,150,random_feasible,3,3,3,96,11,0.6142,0.0
pessimistic,150,random_feasible,3,3,3,39,11,0.7113,5.0
pessimistic,150,random_feasible,3,3,3,45,5,0.9161,15.0
pessimistic,150,random_feasible,3,3,3,139,0,0.3998,0.0
pessimistic,150,random_feasible,3,3,3,32,4,0.8978,0.0
pessimistic,150,random_feasible,3,3,3,57,11,0.5526,0.0
pessimistic,150,random_feasible,3,3,3,15,2,0.7219,5.0
pessimistic,150,random_feasible,3,3,3,15,10,0.2522,5.0
pessimistic,150,random_feasible,3,3,3,144,7,0.8035,0.0
pessimistic,150,random_feasible,3,3,3,43,10,0.1892,0.0
pessimistic,150,random_feasible,3,3,3,149,8,0.82,0.0
pessimistic,150,random_feasible,3,3,3,18,2,0.7289,0.0
pessimistic,150,random_feasible,3,3,3,31,6,0.3093,5.0
pessimistic,150,random_feasible,3,3,3,31,7,0.1164,0.0
pessimistic,150,random_feasible,3,3,3,149,2,0.637,0.0
pessimistic,150,random_feasible,3,3,3,104,7,1.4229,0.0
pessimistic,150,random_feasible,3,3,3,15,10,0.4172,0.0
pessimistic,150,random_feasible,3,3,3,18,2,0.4904,10.0
pessimistic,150,random_feasible,3,3,3,61,5,0.9629,0.0
pessimistic,150,random_feasible,3,3,3,15,4,0.1718,0.0
pessimistic,150,random_feasible,3,3,3,31,11,0.4513,0.0
pessimistic,150,random_feasible,3,3,3,92,3,1.1501,5.0
pessimistic,150,random_feasible,3,3,3,15,10,0.1833,110.0
pessimistic,150,random_feasible,3,3,3,115,11,0.7113,5.0
pessimistic,150,random_feasible,3,3,3,15,4,0.8599,5.0
pessimistic,150,random_feasible,3,3,3,37,4,0.3083,0.0
pessimistic,150,random_feasible,3,3,3,61,11,0.5432,0.0
pessimistic,150,random_feasible,3,3,3,75,4,0.2881,0.0
pessimistic,150,random_feasible,3,3,3,113,3,0.5975,20.0
pessimistic,150,random_feasible,3,3,3,31,5,0.8864,0.0
pessimistic,150,random_feasible,3,3,3,85,11,0.7113,0.0
pessimistic,150,random_feasible,3,3,3,111,10,0.4557,50.0
pessimistic,150,random_feasible,3,3,3,67,4,0.3552,25.0
pessimistic,150,random_feasible,3,3,3,85,11,0.7113,0.0
pessimistic,150,random_feasible,3,3,3,113,11,0.6655,80.0
pessimistic,150,random_feasible,3,3,3,17,3,0.63,0.0
pessimistic,150,random_feasible,3,3,3,20,7,0.6855,5.0
pessimistic,150,random_feasible,3,3,3,108,11,0.9209,115.0
pessimistic,150,random_feasible,3,3,3,113,5,0.5287,5.0
pessimistic,150,random_feasible,3,3,3,129,3,0.4826,0.0
pessimistic,150,random_feasible,3,3,3,17,3,1.1501,0.0
pessimistic,150,random_feasible,3,3,3,36,2,1.4533,0.0
pessimistic,150,random_feasible,3,3,3,95,10,0.5278,80.0
pessimistic,150,random_feasible,3,3,3,95,10,0.1834,35.0
pessimistic,150,random_feasible,3,3,3,95,10,0.1162,25.0
pessimistic,150,random_feasible,3,3,3,101,11,0.7113,45.0
pessimistic,150,random_feasible,3,3,3,113,11,0.5432,40.0
pessimistic,150,random_feasible,3,3,3,25,4,0.3083,100.0
pessimistic,150,random_feasible,3,3,3,60,9,1.3898,0.0
pessimistic,150,random_feasible,3,3,3,93,4,0.3083,110.0
pessimistic,150,random_feasible,3,3,3,141,7,0.862,0.0
pessimistic,150,random_feasible,3,3,3,126,7,0.8459,0.0
pessimistic,150,random_feasible,3,3,3,113,3,0.6661,0.0
pessimistic,150,random_feasible,3,3,3,12,3,1.1501,5.0
pessimistic,150,random_feasible,3,3,3,30,5,0.839,5.0
pessimistic,150,random_feasible,3,3,3,94,4,0.3083,115.0
pessimistic,150,random_feasible,3,3,3,13,3,0.8339,90.0
pessimistic,150,random_feasible,3,3,3,90,3,1.1501,60.0
pessimistic,150,random_feasible,3,3,3,132,10,0.2092,105.0
pessimistic,150,random_feasible,3,3,3,147,4,0.3083,110.0
pessimistic,150,random_feasible,3,3,3,113,3,0.9868,0.0
pessimistic,150,random_feasible,3,3,3,132,5,0.8522,55.0
pessimistic,150,random_feasible,3,3,3,8,9,0.9474,0.0
pessimistic,150,random_feasible,3,3,3,7,10,0.4557,80.0
pessimistic,150,random_feasible,3,3,3,8,1,0.9234,0.0
pessimistic,150,random_feasible,3,3,3,143,11,0.7113,5.0
pessimistic,150,random_feasible,3,3,3,54,11,0.7113,75.0
pessimistic,150,random_feasible,3,3,3,54,5,0.6667,120.0
pessimistic,150,random_feasible,3,3,3,64,11,0.6261,15.0
pessimistic,150,random_feasible,3,3,3,81,1,0.7703,0.0
pessimistic,150,random_feasible,3,3,3,132,3,0.473,110.0
pessimistic,150,random_feasible,3,3,3,29,10,0.4215,175.0
pessimistic,150,random_feasible,3,3,3,86,5,0.9672,5.0
pessimistic,150,random_feasible,3,3,3,84,2,0.5978,0.0
pessimistic,150,random_feasible,3,3,3,86,5,0.7617,110.0
pessimistic,150,random_feasible,3,3,3,103,9,2.1091,0.0
pessimistic,150,random_feasible,3,3,3,25,8,2.1036,0.0
pessimistic,150,random_feasible,3,3,3,122,10,0.4145,190.0
pessimistic,150,random_feasible,3,3,3,56,10,0.4557,150.0
pessimistic,150,random_feasible,3,3,3,103,9,2.2065,0.0
pessimistic,150,random_feasible,3,3,3,64,5,0.6288,80.0
pessimistic,150,random_feasible,3,3,3,69,3,1.1501,125.0
pessimistic,150,random_feasible,3,3,3,123,10,0.4557,170.0
pessimistic,150,random_feasible,3,3,3,62,6,1.3636,0.0
pessimistic,150,random_feasible,3,3,3,89,1,1.3742,0.0
pessimistic,150,random_feasible,3,3,3,123,10,0.4557,145.0
pessimistic,150,random_feasible,3,3,3,140,5,1.4458,100.0
pessimistic,150,random_feasible,3,3,3,34,10,0.4574,140.0
